Iso3_code,Region,Subregion,Country,Dimension,Category,Sex,Age,Year,Counts
WORLD,World,World,World,Total,Total,Total,Total,2016,451035.632884196
WORLD,World,World,World,Total,Total,Total,Total,2017,450654.763354182
WORLD,World,World,World,Total,Total,Total,Total,2014,449003.525326353
WORLD,World,World,World,Total,Total,Total,Total,2012,445352.838820363
WORLD,World,World,World,Total,Total,Total,Total,2013,444117.311804986
WORLD,World,World,World,Total,Total,Total,Total,2015,442446.770400809
WORLD,World,World,World,Total,Total,Total,Total,2002,442420.839721929
WORLD,World,World,World,Total,Total,Total,Total,2001,439027.768102836
WORLD,World,World,World,Total,Total,Total,Total,2011,438010.111947284
WORLD,World,World,World,Total,Total,Total,Total,2018,436960.64954409
