Subregion,StartYear,StartRate,EndYear,EndRate,AbsChange,PctChange_%
Northern America,2004,0.84,2023,5.76,4.92,584.9
Eastern Asia,2004,1.48,2023,4.99,3.51,237.1
Southern Asia,2004,2.75,2023,4.33,1.59,57.8
Western Asia,2004,4.97,2023,2.8,-2.17,-43.6
Latin America and the Caribbean,2004,14.56,2023,1.68,-12.88,-88.4
Northern Africa,2004,0.92,2023,1.41,0.49,53.6
Northern Europe,2004,1.2,2023,1.19,-0.0,-0.3
Western Europe,2004,0.47,2023,1.12,0.64,135.3
Australia and New Zealand,2004,0.73,2023,0.85,0.13,17.3
Southern Europe,2004,1.65,2023,0.83,-0.82,-49.7
Eastern Europe,2004,11.6,2023,0.12,-11.48,-99.0
South-eastern Asia,2004,1.84,2023,0.09,-1.75,-95.2
