UNODC,Unnamed: 1,Unnamed: 2,unodc-dass@un.org,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2024-11-24 00:00:00,,,,,,,,,,,
Iso3_code,Region,Subregion,Country,Source,Dimension,Category,Sex,Age,Year,Unit of measurement,VALUE
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,35
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2013,Counts,28
COL,Americas,Latin America and the Caribbean,Colombia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,15053
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,69
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2013,Counts,455
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2013,Counts,70
GTM,Americas,Latin America and the Caribbean,Guatemala,CTS,by citizenship,National citizens,Male,Total,2013,Counts,2764
HND,Americas,Latin America and the Caribbean,Honduras,CTS,by citizenship,National citizens,Male,Total,2013,Counts,905
HUN,Europe,Eastern Europe,Hungary,CTS,by citizenship,National citizens,Male,Total,2013,Counts,229
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2013,Counts,1
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2013,Counts,864
JPN,Asia,Eastern Asia,Japan,CTS,by citizenship,National citizens,Male,Total,2013,Counts,259
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2013,Counts,809
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2013,Counts,173
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,207
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2013,Counts,16
SRB,Europe,Southern Europe,Serbia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,134
SVK,Europe,Eastern Europe,Slovakia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,53
SVN,Europe,Southern Europe,Slovenia,CTS,by citizenship,National citizens,Male,Total,2013,Counts,16
TUR,Asia,Western Asia,Türkiye,CTS,by citizenship,National citizens,Male,Total,2013,Counts,9891
ARM,Asia,Western Asia,Armenia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,41
CHE,Europe,Western Europe,Switzerland,CTS,by citizenship,National citizens,Male,Total,2014,Counts,26
COL,Americas,Latin America and the Caribbean,Colombia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,16476
CZE,Europe,Eastern Europe,Czechia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,55
DEU,Europe,Western Europe,Germany,CTS,by citizenship,National citizens,Male,Total,2014,Counts,489
FIN,Europe,Northern Europe,Finland,CTS,by citizenship,National citizens,Male,Total,2014,Counts,66
GTM,Americas,Latin America and the Caribbean,Guatemala,CTS,by citizenship,National citizens,Male,Total,2014,Counts,2649
HND,Americas,Latin America and the Caribbean,Honduras,CTS,by citizenship,National citizens,Male,Total,2014,Counts,1319
HUN,Europe,Eastern Europe,Hungary,CTS,by citizenship,National citizens,Male,Total,2014,Counts,204
ISL,Europe,Northern Europe,Iceland,CTS,by citizenship,National citizens,Male,Total,2014,Counts,1
ITA,Europe,Southern Europe,Italy,CTS,by citizenship,National citizens,Male,Total,2014,Counts,806
JPN,Asia,Eastern Asia,Japan,CTS,by citizenship,National citizens,Male,Total,2014,Counts,243
LKA,Asia,Southern Asia,Sri Lanka,CTS,by citizenship,National citizens,Male,Total,2014,Counts,902
LTU,Europe,Northern Europe,Lithuania,CTS,by citizenship,National citizens,Male,Total,2014,Counts,174
MNG,Asia,Eastern Asia,Mongolia,CTS,by citizenship,National citizens,Male,Total,2014,Counts,217
NOR,Europe,Northern Europe,Norway,CTS,by citizenship,National citizens,Male,Total,2014,Counts,18
