Iso3_code,Year,population
ARM,2023,2964300
ARM,2022,2969200
ARM,2021,2962300
ARM,2020,2961500
ARM,2019,2962500
ARM,2018,2969000
ARM,2017,2979400
ARM,2016,2992300
ARM,2015,3004600
ARM,2014,3013800
ARM,2013,3022000
ARM,2012,3024100
ARM,2011,3027900
ARM,2010,3044800
ARM,2009,3066000
ARM,2008,3087100
ARM,2007,3107400
ARM,2006,3127100
ARM,2005,3146400
ARM,2004,3164900
ARM,2003,3182500
ARM,2002,3199800
ARM,2001,3211800
ARM,2000,3221100
ARM,1999,3167286
ARM,1998,3208401
ARM,1997,3246289
ARM,1996,3278735
ARM,1995,3307581
ARM,1994,3364610
ARM,1993,3453332
ARM,1992,3571861
ARM,1991,3613977
ARM,1990,3552128
CHE,2023,8888093
CHE,2022,8777088
CHE,2021,8704546
CHE,2020,8638167
CHE,2019,8575280
CHE,2018,8514329
CHE,2017,8451840
CHE,2016,8373338
CHE,2015,8282396
CHE,2014,8188649
CHE,2013,8089346
CHE,2012,7996861
CHE,2011,7912398
CHE,2010,7824909
CHE,2009,7743831
CHE,2008,7647675
CHE,2007,7551117
CHE,2006,7483934
CHE,2005,7437115
CHE,2004,7389625
CHE,2003,7339001
CHE,2002,7284753
CHE,2001,7229854
CHE,2000,7184250
CHE,1999,7143991
CHE,1998,7110001
CHE,1997,7088906
CHE,1996,7071850
CHE,1995,7040687
CHE,1994,6993795
CHE,1993,6938265
CHE,1992,6875364
CHE,1991,6799978
CHE,1990,6715519
COL,2023,52321152
COL,2022,51737944
COL,2021,51188173
COL,2020,50629997
COL,2019,49907985
COL,2018,49024465
COL,2017,48131078
COL,2016,47437512
COL,2015,46969940
COL,2014,46565429
COL,2013,46151584
COL,2012,45715810
COL,2011,45259614
COL,2010,44777319
COL,2009,44271541
COL,2008,43758808
COL,2007,43235374
COL,2006,42691084
COL,2005,42128977
COL,2004,41543171
COL,2003,40937429
COL,2002,40324680
COL,2001,39709262
COL,2000,39089934
COL,1999,38454863
COL,1998,37792165
COL,1997,37121149
COL,1996,36462745
COL,1995,35804662
COL,1994,35127410
COL,1993,34441473
COL,1992,33760571
COL,1991,33098372
COL,1990,32440069
CZE,2023,10864042
CZE,2022,10672118
CZE,2021,10505772
CZE,2020,10697858
CZE,2019,10671870
CZE,2018,10629928
CZE,2017,10594438
CZE,2016,10566332
CZE,2015,10546059
CZE,2014,10525347
CZE,2013,10514272
CZE,2012,10510785
CZE,2011,10496088
CZE,2010,10474410
CZE,2009,10443936
CZE,2008,10384603
CZE,2007,10298828
CZE,2006,10238905
CZE,2005,10211216
CZE,2004,10197101
CZE,2003,10193998
CZE,2002,10196916
CZE,2001,10216605
CZE,2000,10255063
CZE,1999,10283860
CZE,1998,10294373
CZE,1997,10304131
CZE,1996,10315241
CZE,1995,10327253
CZE,1994,10333587
CZE,1993,10329855
CZE,1992,10319123
CZE,1991,10308578
CZE,1990,10333355
DEU,2023,83901923
DEU,2022,83797985
DEU,2021,83196078
DEU,2020,83160871
DEU,2019,83092962
DEU,2018,82905782
DEU,2017,82657002
DEU,2016,82348669
DEU,2015,81686611
DEU,2014,80982500
DEU,2013,80645605
DEU,2012,80425823
DEU,2011,80274983
DEU,2010,81776930
DEU,2009,81902307
